Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 255.00 383.00 9 9 -1 RT_NONE 
1 827.00 521.00 5 5 -1 RT_NONE 
2 299.00 642.00 7 7 -1 RT_NONE 
3 334.00 816.00 7 7 -1 RT_NONE 
4 960.00 464.00 7 7 -1 RT_NONE 
5 203.00 871.00 4 4 -1 RT_NONE 
6 416.00 639.00 6 6 -1 RT_NONE 
7 516.00 239.00 8 8 -1 RT_NONE 
8 454.00 833.00 6 6 -1 RT_NONE 
9 444.00 745.00 8 8 -1 RT_NONE 
10 860.00 122.00 4 4 -1 RT_NONE 
11 383.00 645.00 3 3 -1 RT_NONE 
12 709.00 474.00 5 5 -1 RT_NONE 
13 354.00 194.00 1 1 -1 RT_NONE 
14 854.00 786.00 5 5 -1 RT_NONE 
15 298.00 325.00 5 5 -1 RT_NONE 
16 429.00 573.00 3 3 -1 RT_NONE 
17 334.00 730.00 4 4 -1 RT_NONE 
18 298.00 365.00 4 4 -1 RT_NONE 
19 829.00 175.00 2 2 -1 RT_NONE 
20 214.00 575.00 2 2 -1 RT_NONE 
21 843.00 80.00 3 3 -1 RT_NONE 
22 793.00 328.00 5 5 -1 RT_NONE 
23 890.00 709.00 2 2 -1 RT_NONE 
24 742.00 953.00 1 1 -1 RT_NONE 
25 650.00 291.00 5 5 -1 RT_NONE 
26 16.00 599.00 3 3 -1 RT_NONE 
27 199.00 349.00 3 3 -1 RT_NONE 
28 630.00 558.00 3 3 -1 RT_NONE 
29 451.00 400.00 4 4 -1 RT_NONE 
30 552.00 658.00 2 2 -1 RT_NONE 
31 999.00 543.00 2 2 -1 RT_NONE 
32 75.00 956.00 5 5 -1 RT_NONE 
33 763.00 466.00 2 2 -1 RT_NONE 
34 569.00 314.00 6 6 -1 RT_NONE 
35 547.00 619.00 4 4 -1 RT_NONE 
36 551.00 963.00 3 3 -1 RT_NONE 
37 89.00 632.00 3 3 -1 RT_NONE 
38 364.00 791.00 2 2 -1 RT_NONE 
39 919.00 978.00 4 4 -1 RT_NONE 
40 781.00 589.00 1 1 -1 RT_NONE 
41 436.00 929.00 3 3 -1 RT_NONE 
42 253.00 714.00 1 1 -1 RT_NONE 
43 301.00 475.00 2 2 -1 RT_NONE 
44 530.00 241.00 3 3 -1 RT_NONE 
45 237.00 909.00 4 4 -1 RT_NONE 
46 437.00 812.00 3 3 -1 RT_NONE 
47 396.00 496.00 3 3 -1 RT_NONE 
48 436.00 545.00 1 1 -1 RT_NONE 
49 919.00 895.00 5 5 -1 RT_NONE 
50 952.00 364.00 3 3 -1 RT_NONE 
51 790.00 620.00 4 4 -1 RT_NONE 
52 411.00 985.00 2 2 -1 RT_NONE 
53 238.00 405.00 2 2 -1 RT_NONE 
54 755.00 18.00 3 3 -1 RT_NONE 
55 948.00 759.00 5 5 -1 RT_NONE 
56 786.00 380.00 2 2 -1 RT_NONE 
57 638.00 749.00 1 1 -1 RT_NONE 
58 492.00 644.00 3 3 -1 RT_NONE 
59 427.00 180.00 2 2 -1 RT_NONE 
60 730.00 825.00 1 1 -1 RT_NONE 
61 751.00 584.00 3 3 -1 RT_NONE 
62 782.00 55.00 2 2 -1 RT_NONE 
63 707.00 900.00 1 1 -1 RT_NONE 
64 661.00 288.00 2 2 -1 RT_NONE 
65 741.00 939.00 2 2 -1 RT_NONE 
66 567.00 258.00 2 2 -1 RT_NONE 
67 794.00 182.00 2 2 -1 RT_NONE 
68 725.00 447.00 2 2 -1 RT_NONE 
69 764.00 853.00 2 2 -1 RT_NONE 
70 392.00 449.00 1 1 -1 RT_NONE 
71 545.00 558.00 3 3 -1 RT_NONE 
72 427.00 408.00 1 1 -1 RT_NONE 
