Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 190.00 946.00 7 7 -1 RT_NONE 
1 280.00 829.00 9 9 -1 RT_NONE 
2 817.00 343.00 5 5 -1 RT_NONE 
3 102.00 715.00 4 4 -1 RT_NONE 
4 597.00 342.00 4 4 -1 RT_NONE 
5 872.00 462.00 6 6 -1 RT_NONE 
6 27.00 241.00 2 2 -1 RT_NONE 
7 515.00 566.00 5 5 -1 RT_NONE 
8 536.00 766.00 3 3 -1 RT_NONE 
9 66.00 255.00 3 3 -1 RT_NONE 
10 535.00 207.00 5 5 -1 RT_NONE 
11 235.00 305.00 3 3 -1 RT_NONE 
12 418.00 574.00 9 9 -1 RT_NONE 
13 523.00 80.00 5 5 -1 RT_NONE 
14 209.00 934.00 4 4 -1 RT_NONE 
15 209.00 62.00 5 5 -1 RT_NONE 
16 851.00 504.00 4 4 -1 RT_NONE 
17 930.00 268.00 2 2 -1 RT_NONE 
18 112.00 136.00 4 4 -1 RT_NONE 
19 310.00 33.00 4 4 -1 RT_NONE 
20 56.00 672.00 3 3 -1 RT_NONE 
21 548.00 372.00 4 4 -1 RT_NONE 
22 628.00 612.00 1 1 -1 RT_NONE 
23 636.00 952.00 3 3 -1 RT_NONE 
24 487.00 454.00 2 2 -1 RT_NONE 
25 209.00 616.00 6 6 -1 RT_NONE 
26 473.00 312.00 2 2 -1 RT_NONE 
27 773.00 312.00 1 1 -1 RT_NONE 
28 244.00 92.00 3 3 -1 RT_NONE 
29 119.00 190.00 2 2 -1 RT_NONE 
30 242.00 473.00 3 3 -1 RT_NONE 
31 768.00 479.00 3 3 -1 RT_NONE 
32 225.00 873.00 2 2 -1 RT_NONE 
33 955.00 178.00 4 4 -1 RT_NONE 
34 769.00 660.00 6 6 -1 RT_NONE 
35 386.00 128.00 6 6 -1 RT_NONE 
36 338.00 612.00 4 4 -1 RT_NONE 
37 342.00 166.00 4 4 -1 RT_NONE 
38 52.00 81.00 1 1 -1 RT_NONE 
39 745.00 275.00 4 4 -1 RT_NONE 
40 825.00 542.00 3 3 -1 RT_NONE 
41 48.00 945.00 4 4 -1 RT_NONE 
42 87.00 330.00 1 1 -1 RT_NONE 
43 178.00 40.00 3 3 -1 RT_NONE 
44 837.00 112.00 3 3 -1 RT_NONE 
45 327.00 826.00 2 2 -1 RT_NONE 
46 126.00 46.00 4 4 -1 RT_NONE 
47 124.00 88.00 3 3 -1 RT_NONE 
48 397.00 664.00 5 5 -1 RT_NONE 
49 897.00 334.00 4 4 -1 RT_NONE 
50 515.00 546.00 2 2 -1 RT_NONE 
51 314.00 649.00 5 5 -1 RT_NONE 
52 113.00 832.00 2 2 -1 RT_NONE 
53 440.00 677.00 3 3 -1 RT_NONE 
54 255.00 927.00 3 3 -1 RT_NONE 
55 918.00 270.00 1 1 -1 RT_NONE 
56 2.00 75.00 1 1 -1 RT_NONE 
57 217.00 207.00 5 5 -1 RT_NONE 
58 57.00 815.00 1 1 -1 RT_NONE 
59 275.00 918.00 2 2 -1 RT_NONE 
60 956.00 546.00 3 3 -1 RT_NONE 
61 808.00 518.00 2 2 -1 RT_NONE 
62 614.00 43.00 2 2 -1 RT_NONE 
63 36.00 257.00 2 2 -1 RT_NONE 
64 605.00 521.00 5 5 -1 RT_NONE 
65 921.00 345.00 2 2 -1 RT_NONE 
66 426.00 86.00 2 2 -1 RT_NONE 
67 860.00 28.00 1 1 -1 RT_NONE 
68 601.00 388.00 1 1 -1 RT_NONE 
69 802.00 929.00 4 4 -1 RT_NONE 
70 275.00 539.00 3 3 -1 RT_NONE 
71 685.00 172.00 2 2 -1 RT_NONE 
72 49.00 323.00 1 1 -1 RT_NONE 
