Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 220.00 819.00 7 7 -1 RT_NONE 
1 9.00 550.00 4 4 -1 RT_NONE 
2 148.00 225.00 9 9 -1 RT_NONE 
3 380.00 529.00 6 6 -1 RT_NONE 
4 290.00 636.00 7 7 -1 RT_NONE 
5 49.00 367.00 6 6 -1 RT_NONE 
6 56.00 531.00 2 2 -1 RT_NONE 
7 578.00 742.00 6 6 -1 RT_NONE 
8 879.00 492.00 5 5 -1 RT_NONE 
9 137.00 602.00 5 5 -1 RT_NONE 
10 299.00 718.00 3 3 -1 RT_NONE 
11 521.00 945.00 5 5 -1 RT_NONE 
12 856.00 385.00 8 8 -1 RT_NONE 
13 19.00 999.00 1 1 -1 RT_NONE 
14 344.00 785.00 3 3 -1 RT_NONE 
15 132.00 862.00 3 3 -1 RT_NONE 
16 996.00 464.00 5 5 -1 RT_NONE 
17 604.00 512.00 2 2 -1 RT_NONE 
18 286.00 225.00 2 2 -1 RT_NONE 
19 470.00 74.00 4 4 -1 RT_NONE 
20 808.00 665.00 6 6 -1 RT_NONE 
21 131.00 668.00 2 2 -1 RT_NONE 
22 796.00 698.00 5 5 -1 RT_NONE 
23 64.00 741.00 3 3 -1 RT_NONE 
24 671.00 964.00 4 4 -1 RT_NONE 
25 7.00 411.00 1 1 -1 RT_NONE 
26 607.00 255.00 3 3 -1 RT_NONE 
27 949.00 584.00 2 2 -1 RT_NONE 
28 980.00 802.00 4 4 -1 RT_NONE 
29 894.00 175.00 3 3 -1 RT_NONE 
30 250.00 799.00 3 3 -1 RT_NONE 
31 887.00 553.00 8 8 -1 RT_NONE 
32 342.00 62.00 1 1 -1 RT_NONE 
33 869.00 356.00 2 2 -1 RT_NONE 
34 716.00 207.00 3 3 -1 RT_NONE 
35 925.00 443.00 5 5 -1 RT_NONE 
36 9.00 625.00 4 4 -1 RT_NONE 
37 687.00 600.00 3 3 -1 RT_NONE 
38 595.00 974.00 1 1 -1 RT_NONE 
39 391.00 469.00 4 4 -1 RT_NONE 
40 782.00 309.00 4 4 -1 RT_NONE 
41 207.00 599.00 1 1 -1 RT_NONE 
42 751.00 476.00 4 4 -1 RT_NONE 
43 440.00 366.00 1 1 -1 RT_NONE 
44 188.00 331.00 4 4 -1 RT_NONE 
45 174.00 261.00 1 1 -1 RT_NONE 
46 820.00 626.00 6 6 -1 RT_NONE 
47 226.00 412.00 1 1 -1 RT_NONE 
48 752.00 486.00 2 2 -1 RT_NONE 
49 511.00 616.00 5 5 -1 RT_NONE 
50 773.00 785.00 3 3 -1 RT_NONE 
51 905.00 365.00 6 6 -1 RT_NONE 
52 737.00 71.00 4 4 -1 RT_NONE 
53 463.00 617.00 3 3 -1 RT_NONE 
54 671.00 571.00 1 1 -1 RT_NONE 
55 994.00 396.00 2 2 -1 RT_NONE 
56 855.00 573.00 4 4 -1 RT_NONE 
57 105.00 258.00 6 6 -1 RT_NONE 
58 496.00 559.00 3 3 -1 RT_NONE 
59 541.00 84.00 3 3 -1 RT_NONE 
60 819.00 538.00 8 8 -1 RT_NONE 
61 319.00 883.00 1 1 -1 RT_NONE 
62 293.00 744.00 1 1 -1 RT_NONE 
63 930.00 443.00 3 3 -1 RT_NONE 
64 77.00 340.00 1 1 -1 RT_NONE 
65 954.00 815.00 2 2 -1 RT_NONE 
66 586.00 670.00 2 2 -1 RT_NONE 
67 431.00 285.00 4 4 -1 RT_NONE 
68 763.00 676.00 1 1 -1 RT_NONE 
69 254.00 366.00 2 2 -1 RT_NONE 
70 347.00 878.00 3 3 -1 RT_NONE 
71 806.00 401.00 3 3 -1 RT_NONE 
72 251.00 282.00 3 3 -1 RT_NONE 
