Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 837.00 377.00 6 6 -1 RT_NONE 
1 570.00 314.00 12 12 -1 RT_NONE 
2 290.00 459.00 5 5 -1 RT_NONE 
3 634.00 269.00 6 6 -1 RT_NONE 
4 124.00 870.00 8 8 -1 RT_NONE 
5 888.00 586.00 3 3 -1 RT_NONE 
6 197.00 972.00 10 10 -1 RT_NONE 
7 246.00 942.00 2 2 -1 RT_NONE 
8 770.00 71.00 6 6 -1 RT_NONE 
9 769.00 965.00 3 3 -1 RT_NONE 
10 443.00 143.00 4 4 -1 RT_NONE 
11 502.00 851.00 7 7 -1 RT_NONE 
12 762.00 156.00 3 3 -1 RT_NONE 
13 962.00 688.00 6 6 -1 RT_NONE 
14 551.00 38.00 5 5 -1 RT_NONE 
15 30.00 583.00 6 6 -1 RT_NONE 
16 552.00 732.00 3 3 -1 RT_NONE 
17 940.00 541.00 3 3 -1 RT_NONE 
18 63.00 447.00 2 2 -1 RT_NONE 
19 42.00 954.00 1 1 -1 RT_NONE 
20 702.00 933.00 4 4 -1 RT_NONE 
21 320.00 606.00 5 5 -1 RT_NONE 
22 873.00 103.00 4 4 -1 RT_NONE 
23 592.00 949.00 2 2 -1 RT_NONE 
24 698.00 9.00 2 2 -1 RT_NONE 
25 354.00 241.00 5 5 -1 RT_NONE 
26 128.00 231.00 1 1 -1 RT_NONE 
27 291.00 101.00 2 2 -1 RT_NONE 
28 318.00 261.00 3 3 -1 RT_NONE 
29 261.00 356.00 5 5 -1 RT_NONE 
30 572.00 938.00 2 2 -1 RT_NONE 
31 537.00 447.00 5 5 -1 RT_NONE 
32 804.00 274.00 4 4 -1 RT_NONE 
33 189.00 308.00 1 1 -1 RT_NONE 
34 367.00 890.00 3 3 -1 RT_NONE 
35 861.00 840.00 8 8 -1 RT_NONE 
36 710.00 465.00 2 2 -1 RT_NONE 
37 839.00 72.00 5 5 -1 RT_NONE 
38 895.00 961.00 3 3 -1 RT_NONE 
39 100.00 653.00 4 4 -1 RT_NONE 
40 960.00 639.00 5 5 -1 RT_NONE 
41 99.00 703.00 2 2 -1 RT_NONE 
42 8.00 59.00 1 1 -1 RT_NONE 
43 944.00 624.00 2 2 -1 RT_NONE 
44 95.00 813.00 2 2 -1 RT_NONE 
45 574.00 472.00 3 3 -1 RT_NONE 
46 520.00 135.00 2 2 -1 RT_NONE 
47 865.00 880.00 1 1 -1 RT_NONE 
48 152.00 884.00 2 2 -1 RT_NONE 
49 556.00 492.00 3 3 -1 RT_NONE 
50 448.00 440.00 3 3 -1 RT_NONE 
51 545.00 974.00 3 3 -1 RT_NONE 
52 898.00 797.00 4 4 -1 RT_NONE 
53 804.00 79.00 1 1 -1 RT_NONE 
54 698.00 488.00 3 3 -1 RT_NONE 
55 720.00 112.00 2 2 -1 RT_NONE 
56 384.00 750.00 4 4 -1 RT_NONE 
57 489.00 585.00 4 4 -1 RT_NONE 
58 407.00 793.00 1 1 -1 RT_NONE 
59 771.00 623.00 2 2 -1 RT_NONE 
60 909.00 635.00 2 2 -1 RT_NONE 
61 799.00 939.00 1 1 -1 RT_NONE 
62 120.00 396.00 2 2 -1 RT_NONE 
63 501.00 95.00 3 3 -1 RT_NONE 
64 517.00 346.00 2 2 -1 RT_NONE 
65 979.00 686.00 1 1 -1 RT_NONE 
66 364.00 374.00 4 4 -1 RT_NONE 
67 264.00 580.00 4 4 -1 RT_NONE 
68 107.00 815.00 2 2 -1 RT_NONE 
69 52.00 851.00 3 3 -1 RT_NONE 
70 924.00 51.00 3 3 -1 RT_NONE 
71 40.00 669.00 5 5 -1 RT_NONE 
72 53.00 618.00 1 1 -1 RT_NONE 
