Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 68.00 894.00 6 6 -1 RT_NONE 
1 277.00 657.00 8 8 -1 RT_NONE 
2 592.00 5.00 5 5 -1 RT_NONE 
3 629.00 29.00 4 4 -1 RT_NONE 
4 814.00 290.00 7 7 -1 RT_NONE 
5 441.00 847.00 5 5 -1 RT_NONE 
6 255.00 42.00 6 6 -1 RT_NONE 
7 566.00 601.00 6 6 -1 RT_NONE 
8 69.00 227.00 4 4 -1 RT_NONE 
9 871.00 755.00 7 7 -1 RT_NONE 
10 56.00 922.00 3 3 -1 RT_NONE 
11 967.00 750.00 3 3 -1 RT_NONE 
12 727.00 24.00 2 2 -1 RT_NONE 
13 622.00 832.00 4 4 -1 RT_NONE 
14 302.00 437.00 2 2 -1 RT_NONE 
15 179.00 789.00 2 2 -1 RT_NONE 
16 891.00 448.00 2 2 -1 RT_NONE 
17 518.00 446.00 7 7 -1 RT_NONE 
18 471.00 128.00 4 4 -1 RT_NONE 
19 434.00 592.00 6 6 -1 RT_NONE 
20 892.00 90.00 3 3 -1 RT_NONE 
21 379.00 826.00 4 4 -1 RT_NONE 
22 859.00 844.00 4 4 -1 RT_NONE 
23 810.00 442.00 3 3 -1 RT_NONE 
24 858.00 566.00 2 2 -1 RT_NONE 
25 88.00 127.00 2 2 -1 RT_NONE 
26 139.00 854.00 3 3 -1 RT_NONE 
27 675.00 497.00 5 5 -1 RT_NONE 
28 655.00 400.00 5 5 -1 RT_NONE 
29 695.00 374.00 4 4 -1 RT_NONE 
30 793.00 814.00 3 3 -1 RT_NONE 
31 311.00 887.00 5 5 -1 RT_NONE 
32 336.00 989.00 4 4 -1 RT_NONE 
33 440.00 592.00 4 4 -1 RT_NONE 
34 303.00 613.00 2 2 -1 RT_NONE 
35 478.00 756.00 4 4 -1 RT_NONE 
36 838.00 983.00 2 2 -1 RT_NONE 
37 799.00 18.00 3 3 -1 RT_NONE 
38 484.00 383.00 2 2 -1 RT_NONE 
39 983.00 841.00 2 2 -1 RT_NONE 
40 820.00 532.00 3 3 -1 RT_NONE 
41 268.00 459.00 4 4 -1 RT_NONE 
42 356.00 118.00 3 3 -1 RT_NONE 
43 381.00 606.00 1 1 -1 RT_NONE 
44 688.00 326.00 3 3 -1 RT_NONE 
45 365.00 785.00 9 9 -1 RT_NONE 
46 502.00 396.00 1 1 -1 RT_NONE 
47 762.00 495.00 4 4 -1 RT_NONE 
48 45.00 230.00 6 6 -1 RT_NONE 
49 483.00 32.00 3 3 -1 RT_NONE 
50 974.00 718.00 4 4 -1 RT_NONE 
51 235.00 633.00 5 5 -1 RT_NONE 
52 60.00 667.00 3 3 -1 RT_NONE 
53 613.00 789.00 2 2 -1 RT_NONE 
54 384.00 800.00 3 3 -1 RT_NONE 
55 95.00 174.00 1 1 -1 RT_NONE 
56 456.00 552.00 3 3 -1 RT_NONE 
57 597.00 406.00 3 3 -1 RT_NONE 
58 16.00 973.00 4 4 -1 RT_NONE 
59 862.00 532.00 2 2 -1 RT_NONE 
60 176.00 736.00 2 2 -1 RT_NONE 
61 582.00 9.00 3 3 -1 RT_NONE 
62 431.00 552.00 3 3 -1 RT_NONE 
63 363.00 958.00 2 2 -1 RT_NONE 
64 41.00 433.00 5 5 -1 RT_NONE 
65 523.00 512.00 2 2 -1 RT_NONE 
66 274.00 591.00 1 1 -1 RT_NONE 
67 757.00 249.00 5 5 -1 RT_NONE 
68 105.00 997.00 2 2 -1 RT_NONE 
69 128.00 594.00 2 2 -1 RT_NONE 
70 737.00 978.00 1 1 -1 RT_NONE 
71 938.00 915.00 1 1 -1 RT_NONE 
72 797.00 808.00 3 3 -1 RT_NONE 
