Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 367.00 208.00 7 7 -1 RT_NONE 
1 907.00 175.00 8 8 -1 RT_NONE 
2 483.00 754.00 7 7 -1 RT_NONE 
3 563.00 216.00 7 7 -1 RT_NONE 
4 740.00 800.00 4 4 -1 RT_NONE 
5 966.00 108.00 2 2 -1 RT_NONE 
6 916.00 716.00 2 2 -1 RT_NONE 
7 791.00 745.00 6 6 -1 RT_NONE 
8 844.00 997.00 3 3 -1 RT_NONE 
9 379.00 769.00 4 4 -1 RT_NONE 
10 12.00 92.00 1 1 -1 RT_NONE 
11 119.00 917.00 8 8 -1 RT_NONE 
12 950.00 429.00 4 4 -1 RT_NONE 
13 494.00 363.00 6 6 -1 RT_NONE 
14 759.00 816.00 7 7 -1 RT_NONE 
15 107.00 601.00 9 9 -1 RT_NONE 
16 386.00 991.00 3 3 -1 RT_NONE 
17 727.00 623.00 3 3 -1 RT_NONE 
18 771.00 817.00 7 7 -1 RT_NONE 
19 831.00 387.00 3 3 -1 RT_NONE 
20 82.00 902.00 3 3 -1 RT_NONE 
21 757.00 249.00 2 2 -1 RT_NONE 
22 853.00 917.00 3 3 -1 RT_NONE 
23 372.00 368.00 5 5 -1 RT_NONE 
24 784.00 162.00 3 3 -1 RT_NONE 
25 160.00 157.00 3 3 -1 RT_NONE 
26 85.00 606.00 4 4 -1 RT_NONE 
27 944.00 204.00 2 2 -1 RT_NONE 
28 31.00 457.00 1 1 -1 RT_NONE 
29 998.00 313.00 2 2 -1 RT_NONE 
30 740.00 312.00 7 7 -1 RT_NONE 
31 669.00 458.00 2 2 -1 RT_NONE 
32 646.00 55.00 6 6 -1 RT_NONE 
33 673.00 268.00 3 3 -1 RT_NONE 
34 131.00 843.00 5 5 -1 RT_NONE 
35 724.00 280.00 3 3 -1 RT_NONE 
36 719.00 229.00 2 2 -1 RT_NONE 
37 952.00 913.00 2 2 -1 RT_NONE 
38 619.00 995.00 2 2 -1 RT_NONE 
39 302.00 201.00 8 8 -1 RT_NONE 
40 748.00 818.00 4 4 -1 RT_NONE 
41 899.00 985.00 1 1 -1 RT_NONE 
42 350.00 745.00 4 4 -1 RT_NONE 
43 773.00 807.00 3 3 -1 RT_NONE 
44 700.00 17.00 2 2 -1 RT_NONE 
45 830.00 905.00 2 2 -1 RT_NONE 
46 990.00 387.00 2 2 -1 RT_NONE 
47 953.00 508.00 5 5 -1 RT_NONE 
48 869.00 443.00 1 1 -1 RT_NONE 
49 84.00 880.00 3 3 -1 RT_NONE 
50 419.00 171.00 3 3 -1 RT_NONE 
51 565.00 721.00 3 3 -1 RT_NONE 
52 602.00 692.00 3 3 -1 RT_NONE 
53 472.00 160.00 5 5 -1 RT_NONE 
54 137.00 905.00 2 2 -1 RT_NONE 
55 697.00 821.00 2 2 -1 RT_NONE 
56 97.00 404.00 3 3 -1 RT_NONE 
57 282.00 610.00 2 2 -1 RT_NONE 
58 489.00 841.00 4 4 -1 RT_NONE 
59 258.00 416.00 4 4 -1 RT_NONE 
60 358.00 668.00 2 2 -1 RT_NONE 
61 728.00 95.00 2 2 -1 RT_NONE 
62 527.00 211.00 1 1 -1 RT_NONE 
63 680.00 446.00 4 4 -1 RT_NONE 
64 153.00 86.00 3 3 -1 RT_NONE 
65 731.00 804.00 3 3 -1 RT_NONE 
66 891.00 694.00 1 1 -1 RT_NONE 
67 417.00 534.00 4 4 -1 RT_NONE 
68 373.00 710.00 1 1 -1 RT_NONE 
69 206.00 740.00 3 3 -1 RT_NONE 
70 974.00 95.00 2 2 -1 RT_NONE 
71 286.00 680.00 3 3 -1 RT_NONE 
72 724.00 878.00 3 3 -1 RT_NONE 
