Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 179.00 440.00 6 6 -1 RT_NONE 
1 122.00 229.00 5 5 -1 RT_NONE 
2 750.00 543.00 7 7 -1 RT_NONE 
3 656.00 978.00 7 7 -1 RT_NONE 
4 911.00 430.00 6 6 -1 RT_NONE 
5 364.00 887.00 3 3 -1 RT_NONE 
6 930.00 88.00 3 3 -1 RT_NONE 
7 213.00 219.00 6 6 -1 RT_NONE 
8 884.00 29.00 3 3 -1 RT_NONE 
9 457.00 896.00 5 5 -1 RT_NONE 
10 115.00 640.00 4 4 -1 RT_NONE 
11 696.00 190.00 2 2 -1 RT_NONE 
12 316.00 554.00 3 3 -1 RT_NONE 
13 439.00 160.00 2 2 -1 RT_NONE 
14 323.00 390.00 5 5 -1 RT_NONE 
15 799.00 904.00 2 2 -1 RT_NONE 
16 224.00 545.00 6 6 -1 RT_NONE 
17 728.00 764.00 2 2 -1 RT_NONE 
18 137.00 191.00 1 1 -1 RT_NONE 
19 259.00 932.00 6 6 -1 RT_NONE 
20 750.00 999.00 3 3 -1 RT_NONE 
21 538.00 434.00 4 4 -1 RT_NONE 
22 634.00 982.00 3 3 -1 RT_NONE 
23 741.00 997.00 2 2 -1 RT_NONE 
24 231.00 446.00 3 3 -1 RT_NONE 
25 990.00 48.00 2 2 -1 RT_NONE 
26 538.00 21.00 4 4 -1 RT_NONE 
27 172.00 932.00 6 6 -1 RT_NONE 
28 271.00 188.00 7 7 -1 RT_NONE 
29 468.00 404.00 6 6 -1 RT_NONE 
30 736.00 859.00 3 3 -1 RT_NONE 
31 153.00 116.00 3 3 -1 RT_NONE 
32 242.00 928.00 4 4 -1 RT_NONE 
33 321.00 667.00 3 3 -1 RT_NONE 
34 249.00 408.00 1 1 -1 RT_NONE 
35 959.00 129.00 4 4 -1 RT_NONE 
36 171.00 799.00 2 2 -1 RT_NONE 
37 845.00 693.00 1 1 -1 RT_NONE 
38 656.00 777.00 3 3 -1 RT_NONE 
39 304.00 668.00 3 3 -1 RT_NONE 
40 555.00 356.00 3 3 -1 RT_NONE 
41 229.00 211.00 1 1 -1 RT_NONE 
42 258.00 348.00 4 4 -1 RT_NONE 
43 843.00 533.00 1 1 -1 RT_NONE 
44 372.00 691.00 4 4 -1 RT_NONE 
45 888.00 576.00 3 3 -1 RT_NONE 
46 124.00 426.00 1 1 -1 RT_NONE 
47 757.00 275.00 8 8 -1 RT_NONE 
48 206.00 537.00 4 4 -1 RT_NONE 
49 281.00 671.00 2 2 -1 RT_NONE 
50 821.00 433.00 2 2 -1 RT_NONE 
51 446.00 857.00 2 2 -1 RT_NONE 
52 788.00 683.00 6 6 -1 RT_NONE 
53 136.00 887.00 4 4 -1 RT_NONE 
54 133.00 671.00 3 3 -1 RT_NONE 
55 393.00 309.00 1 1 -1 RT_NONE 
56 50.00 696.00 2 2 -1 RT_NONE 
57 424.00 415.00 3 3 -1 RT_NONE 
58 287.00 691.00 2 2 -1 RT_NONE 
59 401.00 793.00 1 1 -1 RT_NONE 
60 167.00 447.00 2 2 -1 RT_NONE 
61 81.00 755.00 2 2 -1 RT_NONE 
62 207.00 436.00 1 1 -1 RT_NONE 
63 307.00 699.00 3 3 -1 RT_NONE 
64 762.00 522.00 3 3 -1 RT_NONE 
65 177.00 323.00 2 2 -1 RT_NONE 
66 462.00 705.00 3 3 -1 RT_NONE 
67 538.00 327.00 2 2 -1 RT_NONE 
68 610.00 198.00 2 2 -1 RT_NONE 
69 554.00 255.00 1 1 -1 RT_NONE 
70 21.00 791.00 3 3 -1 RT_NONE 
71 807.00 510.00 3 3 -1 RT_NONE 
72 692.00 256.00 6 6 -1 RT_NONE 
